transaction_id	customer_id	branch_location	transaction_timestamp	transaction_type	fee_type	fee_amount_usd_str	is_reversed_flag	reversal_reason	reversal_date_str	policy_version
TRX_000000	CUST_00377	KILLEEN MAIN	2023-12-18 13:52:29	POS_PURCHASE	OVERDRAFT	$34.00	0	NONE		V2_24H_CURE
TRX_000001	CUST_00796	KILLEEN MAIN	2023-07-22 15:19:41	POS_PURCHASE	NSF	$34.00	0	NONE		V1_STRICT
TRX_000002	CUST_00274	FORT HOOD GATE	2024-01-28 17:28:29	ATM_WITHDRAWAL	OVERDRAFT	$34.00	0	NONE		V2_24H_CURE
TRX_000003	CUST_00685	KILLEEN MAIN	2023-11-01 01:47:27	BILL_PAY	NSF	$34.00	0	NONE		V2_24H_CURE
TRX_000004	CUST_00536	FORT HOOD GATE	2023-09-25 20:00:44	POS_PURCHASE	NSF	$34.00	0	NONE		V1_STRICT
TRX_000005	CUST_00277	FORT HOOD GATE	2023-11-07 08:08:57	BILL_PAY	NSF	$34.00	0	NONE		V2_24H_CURE
TRX_000006	CUST_00078	AUSTIN DOWNTOWN	2023-06-27 12:23:14	BILL_PAY	NSF	$34.00	1	GOODWILL_WAIVER	2023-07-04	V1_STRICT
TRX_000007	CUST_01404	FORT HOOD GATE	2023-04-10 01:21:07	ACH_DEBIT	NSF	$34.00	0	NONE		V1_STRICT
TRX_000008	CUST_01500	FORT HOOD GATE	2023-03-28 09:40:21	ATM_WITHDRAWAL	NSF	$34.00	0	NONE		V1_STRICT
TRX_000009	CUST_00686	DALLAS NW	2024-03-02 20:06:52	POS_PURCHASE	NSF	$34.00	0	NONE		V2_24H_CURE
TRX_000010	CUST_01040	DALLAS NW	2024-01-11 14:47:31	ACH_DEBIT	OVERDRAFT	$34.00	0	NONE		V2_24H_CURE
TRX_000011	CUST_00714	TEMPLE HWY	2023-01-06 05:34:13	POS_PURCHASE	OVERDRAFT	$34.00	0	NONE		V1_STRICT
TRX_000012	CUST_01562	KILLEEN MAIN	2023-05-24 13:27:17	POS_PURCHASE	NSF	$34.00	0	NONE		V1_STRICT
TRX_000013	CUST_00513	FORT HOOD GATE	2024-05-09 09:47:17	ATM_WITHDRAWAL	OVERDRAFT	$34.00	0	NONE		V2_24H_CURE
TRX_000014	CUST_00101	FORT HOOD GATE	2023-04-23 10:28:34	ATM_WITHDRAWAL	NSF	$34.00	1	FRAUD_CLAIM	2023-04-27	V1_STRICT
TRX_000015	CUST_00386	FORT HOOD GATE	2023-07-16 05:09:07	ACH_DEBIT	NSF	$34.00	0	NONE		V1_STRICT
TRX_000016	CUST_01283	KILLEEN MAIN	2023-01-20 17:07:02	POS_PURCHASE	OVERDRAFT	$34.00	0	NONE		V1_STRICT
TRX_000017	CUST_01660	KILLEEN MAIN	2024-03-08 04:02:30	POS_PURCHASE	NSF	$34.00	1	GOODWILL_WAIVER	2024-03-18	V2_24H_CURE
TRX_000018	CUST_00957	DALLAS NW	2023-01-29 04:55:14	BILL_PAY	OVERDRAFT	$34.00	0	NONE		V1_STRICT
TRX_000019	CUST_01947	KILLEEN MAIN	2024-01-23 10:56:21	ACH_DEBIT	OVERDRAFT	$34.00	0	NONE		V2_24H_CURE
TRX_000020	CUST_00975	TEMPLE HWY	2024-01-29 01:00:14	ACH_DEBIT	NSF	$34.00	0	NONE		V2_24H_CURE
TRX_000021	CUST_01382	AUSTIN DOWNTOWN	2024-03-14 11:12:38	ACH_DEBIT	OVERDRAFT	$34.00	0	NONE		V2_24H_CURE
TRX_000022	CUST_00952	AUSTIN DOWNTOWN	2023-12-28 22:00:39	POS_PURCHASE	OVERDRAFT	$34.00	0	NONE		V2_24H_CURE
TRX_000023	CUST_01191	FORT HOOD GATE	2024-06-07 01:34:26	ACH_DEBIT	NSF	$34.00	0	NONE		V2_24H_CURE
TRX_000024	CUST_00622	KILLEEN MAIN	2023-03-03 03:42:42	POS_PURCHASE	OVERDRAFT	$34.00	0	NONE		V1_STRICT
TRX_000025	CUST_00646	AUSTIN DOWNTOWN	2023-09-29 02:27:09	ACH_DEBIT	OVERDRAFT	$34.00	0	NONE		V1_STRICT
TRX_000026	CUST_01643	KILLEEN MAIN	2023-01-09 08:48:00	ACH_DEBIT	OVERDRAFT	$34.00	1	FRAUD_CLAIM	2023-01-14	V1_STRICT
TRX_000027	CUST_01515	FORT HOOD GATE	2024-04-09 01:01:31	POS_PURCHASE	OVERDRAFT	$34.00	0	NONE		V2_24H_CURE
TRX_000028	CUST_00814	FORT HOOD GATE	2024-01-23 11:21:44	ACH_DEBIT	NSF	$34.00	0	NONE		V2_24H_CURE
TRX_000029	CUST_01191	KILLEEN MAIN	2023-12-24 06:16:59	POS_PURCHASE	NSF	$34.00	1	CUST_DISPUTE_24H_CURE	2023-12-30	V2_24H_CURE
TRX_000030	CUST_01684	AUSTIN DOWNTOWN	2023-12-19 02:44:54	ACH_DEBIT	NSF	$34.00	1	CUST_DISPUTE_24H_CURE	2023-12-23	V2_24H_CURE
TRX_000031	CUST_01565	KILLEEN MAIN	2024-02-21 18:38:22	POS_PURCHASE	NSF	$34.00	0	NONE		V2_24H_CURE
TRX_000032	CUST_00902	KILLEEN MAIN	2023-01-05 10:58:18	POS_PURCHASE	NSF	$34.00	0	NONE		V1_STRICT
